2025-04-20 13:13:08,980 - __main__ - INFO - Requesting caption from LLM for image 0 on page 18...
2025-04-20 13:13:09,662 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:09,664 - __main__ - INFO - Caption received for image 0 on page 18 in 0.68s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The fon...'
2025-04-20 13:13:09,970 - __main__ - INFO - Requesting caption from LLM for image 0 on page 19...
2025-04-20 13:13:10,592 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:10,594 - __main__ - INFO - Caption received for image 0 on page 19 in 0.62s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The fon...'
2025-04-20 13:13:10,790 - __main__ - INFO - Requesting caption from LLM for image 0 on page 20...
2025-04-20 13:13:11,307 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:11,310 - __main__ - INFO - Caption received for image 0 on page 20 in 0.52s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. 

There...'
2025-04-20 13:13:11,430 - __main__ - INFO - Requesting caption from LLM for image 0 on page 21...
2025-04-20 13:13:11,958 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:11,960 - __main__ - INFO - Caption received for image 0 on page 21 in 0.53s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The tex...'
2025-04-20 13:13:12,081 - __main__ - INFO - Requesting caption from LLM for image 0 on page 22...
2025-04-20 13:13:12,639 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:12,642 - __main__ - INFO - Caption received for image 0 on page 22 in 0.56s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The tex...'
2025-04-20 13:13:12,768 - __main__ - INFO - Requesting caption from LLM for image 0 on page 23...
2025-04-20 13:13:13,364 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:13,366 - __main__ - INFO - Caption received for image 0 on page 23 in 0.60s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. 

There...'
2025-04-20 13:13:13,518 - __main__ - INFO - Requesting caption from LLM for image 0 on page 24...
2025-04-20 13:13:14,072 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:14,074 - __main__ - INFO - Caption received for image 0 on page 24 in 0.56s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The fon...'
2025-04-20 13:13:14,258 - __main__ - INFO - Requesting caption from LLM for image 0 on page 25...
2025-04-20 13:13:14,789 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-20 13:13:14,793 - __main__ - INFO - Caption received for image 0 on page 25 in 0.53s: 'The image displays the word "SATSURE" in large, bold, black text against a white background. The tex...'
2025-04-20 13:13:14,852 - __main__ - INFO - Requesting caption from LLM for image 0 on page 26...
2025-04-20 13:13:15,408 - httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
